unique_id,ds,NBEATS,NHITS
hotel_35,2023-06-27,0.6463936,0.8196984
hotel_35,2023-06-28,0.6856725,0.7388614
hotel_35,2023-06-29,0.630356,0.68132615
hotel_35,2023-06-30,0.6819116,0.5980905
hotel_42,2023-06-03,0.9171245,0.6902459
hotel_42,2023-06-04,0.744877,0.5529842
hotel_42,2023-06-05,0.8346795,0.8980149
hotel_42,2023-06-06,0.8162105,0.87112314
hotel_42,2023-06-07,0.7560191,0.70753294
hotel_42,2023-06-08,0.75086105,0.57825387
hotel_42,2023-06-09,0.574286,0.6934581
hotel_42,2023-06-10,0.7375269,0.68603086
hotel_42,2023-06-11,0.4649162,0.40827912
hotel_42,2023-06-12,0.8146737,0.6110646
hotel_42,2023-06-13,0.5847511,0.67934114
hotel_42,2023-06-14,0.6862723,1.0016885
hotel_42,2023-06-15,0.9982845,0.8744189
hotel_42,2023-06-16,1.0539844,0.8686281
hotel_42,2023-06-17,0.99995005,0.93514216
hotel_42,2023-06-18,0.45889726,0.6756053
hotel_42,2023-06-19,0.4539435,0.76952463
hotel_42,2023-06-20,0.8554672,1.0921905
hotel_42,2023-06-21,0.937332,0.98911047
hotel_42,2023-06-22,1.0852432,0.5617166
hotel_42,2023-06-23,0.8812009,0.63585234
hotel_42,2023-06-24,0.6959144,0.7564907
hotel_42,2023-06-25,0.46433496,0.1684184
hotel_42,2023-06-26,0.63270843,0.19966799
hotel_42,2023-06-27,0.44338188,0.6034109
hotel_42,2023-06-28,0.4222694,0.5047209
hotel_42,2023-06-29,0.38966188,0.27837065
hotel_42,2023-06-30,0.46076652,0.25015545
hotel_49,2023-06-03,0.66995025,0.7270081
hotel_49,2023-06-04,0.5758425,0.5777004
hotel_49,2023-06-05,0.526039,0.56445426
hotel_49,2023-06-06,0.49583435,0.5305886
hotel_49,2023-06-07,0.46954858,0.5237335
hotel_49,2023-06-08,0.52469933,0.5364428
hotel_49,2023-06-09,0.61820745,0.5853356
hotel_49,2023-06-10,0.6425168,0.6244149
hotel_49,2023-06-11,0.55474806,0.46901032
hotel_49,2023-06-12,0.55071306,0.5134096
hotel_49,2023-06-13,0.57289755,0.5428592
hotel_49,2023-06-14,0.6236923,0.59169006
hotel_49,2023-06-15,0.7524956,0.5909401
hotel_49,2023-06-16,0.8002001,0.5768008
hotel_49,2023-06-17,0.73104554,0.62370396
hotel_49,2023-06-18,0.59937227,0.53289837
hotel_49,2023-06-19,0.661499,0.58161664
hotel_49,2023-06-20,0.79086065,0.5992689
hotel_49,2023-06-21,0.7958656,0.5979037
hotel_49,2023-06-22,0.7562234,0.61358345
hotel_49,2023-06-23,0.78551084,0.6329982
hotel_49,2023-06-24,0.6851438,0.6798458
hotel_49,2023-06-25,0.60986507,0.59728014
hotel_49,2023-06-26,0.5792319,0.58469373
hotel_49,2023-06-27,0.67460155,0.5953145
hotel_49,2023-06-28,0.6456696,0.6432016
hotel_49,2023-06-29,0.7249829,0.7142474
hotel_49,2023-06-30,0.77490115,0.75304335
hotel_56,2023-06-03,0.91807437,0.91793036
hotel_56,2023-06-04,0.75944865,0.7590271
hotel_56,2023-06-05,0.8496916,0.8518755
hotel_56,2023-06-06,0.91361934,0.91389894
hotel_56,2023-06-07,0.9589877,0.9438155
hotel_56,2023-06-08,0.9168736,0.931959
hotel_56,2023-06-09,1.0149451,0.9927837
hotel_56,2023-06-10,1.0333357,0.9931006
hotel_56,2023-06-11,0.9569008,0.8497673
hotel_56,2023-06-12,1.0156648,0.9615369
hotel_56,2023-06-13,1.0402824,0.9968224
hotel_56,2023-06-14,1.0449463,1.0116467
hotel_56,2023-06-15,1.0362716,0.9778702
hotel_56,2023-06-16,0.9988237,1.0105963
hotel_56,2023-06-17,0.9622205,1.0041286
hotel_56,2023-06-18,0.85005146,0.8919485
hotel_56,2023-06-19,0.80835485,1.0043105
hotel_56,2023-06-20,0.8611203,1.0087774
hotel_56,2023-06-21,0.8891998,0.9591888
hotel_56,2023-06-22,0.84461,0.91002595
hotel_56,2023-06-23,0.8992984,0.97165865
hotel_56,2023-06-24,0.88357717,0.9937185
hotel_56,2023-06-25,0.72134626,0.87907636
hotel_56,2023-06-26,0.74024475,0.9351674
hotel_56,2023-06-27,0.8041992,0.973032
hotel_56,2023-06-28,0.8100302,1.0007714
hotel_56,2023-06-29,0.7840096,0.95136017
hotel_56,2023-06-30,0.8277337,0.98336273
hotel_63,2023-06-03,0.9206464,0.8919108
hotel_63,2023-06-04,0.8375321,0.68574905
hotel_63,2023-06-05,0.8152359,0.82834315
hotel_63,2023-06-06,0.8967904,0.9065498
hotel_63,2023-06-07,0.8935825,0.84287345
hotel_63,2023-06-08,0.8076901,0.72555727
hotel_63,2023-06-09,0.7562143,0.84781796
hotel_63,2023-06-10,0.8614767,0.97665125
hotel_63,2023-06-11,0.83096933,0.75778
hotel_63,2023-06-12,0.8655747,0.8159574
hotel_63,2023-06-13,1.0812756,0.8625023
hotel_63,2023-06-14,1.0955346,0.85814655
hotel_63,2023-06-15,0.9040167,0.7721574
hotel_63,2023-06-16,0.99327755,0.9596044
hotel_63,2023-06-17,0.87590635,0.99190134
hotel_63,2023-06-18,0.78966296,0.7851539
hotel_63,2023-06-19,0.6986901,0.70423806
hotel_63,2023-06-20,0.8770065,0.7977742
hotel_63,2023-06-21,1.0053225,0.73458505
hotel_63,2023-06-22,0.96849495,0.71119285
hotel_63,2023-06-23,0.90691495,0.86549616
hotel_63,2023-06-24,0.89092326,0.9298866
hotel_63,2023-06-25,0.92030895,0.71610457
hotel_63,2023-06-26,0.7841206,0.67888296
hotel_63,2023-06-27,0.79082644,0.7466864
hotel_63,2023-06-28,0.86870545,0.80022645
hotel_63,2023-06-29,0.81443965,0.76118165
hotel_63,2023-06-30,0.7907276,0.9294054
hotel_7,2023-06-03,0.74621797,0.8135622
hotel_7,2023-06-04,0.7536196,0.7527878
hotel_7,2023-06-05,0.6110463,0.6134404
hotel_7,2023-06-06,0.7089573,0.59699297
hotel_7,2023-06-07,0.69413066,0.73525465
hotel_7,2023-06-08,0.67679226,0.680998
hotel_7,2023-06-09,0.8756178,0.49525157
hotel_7,2023-06-10,0.8144768,0.3943895
hotel_7,2023-06-11,0.72074044,0.37163177
hotel_7,2023-06-12,0.3629611,0.13034934
hotel_7,2023-06-13,0.2999415,0.15880239
hotel_7,2023-06-14,0.45841184,0.28965315
hotel_7,2023-06-15,0.3340815,0.2815177
hotel_7,2023-06-16,0.43121597,0.25443003
hotel_7,2023-06-17,0.5776488,0.33222383
hotel_7,2023-06-18,0.64208704,0.33414692
hotel_7,2023-06-19,0.6062023,0.23952022
hotel_7,2023-06-20,0.4927132,0.33373475
hotel_7,2023-06-21,0.6670134,0.52413523
hotel_7,2023-06-22,0.8262136,0.6581846
hotel_7,2023-06-23,0.7898406,0.65900624
hotel_7,2023-06-24,0.71736103,0.58475184
hotel_7,2023-06-25,0.5399511,0.43260956
hotel_7,2023-06-26,0.27054724,0.20295751
hotel_7,2023-06-27,0.38059652,0.275926
hotel_7,2023-06-28,0.6019322,0.51530194
hotel_7,2023-06-29,0.5782795,0.5510971
hotel_7,2023-06-30,0.7009353,0.5717247
hotel_70,2023-06-03,0.61151725,0.58138525
hotel_70,2023-06-04,0.49165133,0.47902828
hotel_70,2023-06-05,0.43942726,0.48833454
hotel_70,2023-06-06,0.45273972,0.5079428
hotel_70,2023-06-07,0.45045277,0.50639546
hotel_70,2023-06-08,0.467688,0.53655756
hotel_70,2023-06-09,0.47878563,0.57770866
hotel_70,2023-06-10,0.5793351,0.57984555
hotel_70,2023-06-11,0.5188007,0.46687573
hotel_70,2023-06-12,0.5016166,0.44397596
hotel_70,2023-06-13,0.51242405,0.44356453
hotel_70,2023-06-14,0.45434278,0.39127082
hotel_70,2023-06-15,0.5195843,0.45666453
hotel_70,2023-06-16,0.52136034,0.53326833
hotel_70,2023-06-17,0.6302298,0.5723972
hotel_70,2023-06-18,0.47660002,0.46768165
hotel_70,2023-06-19,0.4341826,0.4793899
hotel_70,2023-06-20,0.46200332,0.47175798
hotel_70,2023-06-21,0.43121195,0.44788343
hotel_70,2023-06-22,0.4110826,0.47860247
hotel_70,2023-06-23,0.45507228,0.49482143
hotel_70,2023-06-24,0.52454716,0.5083652
hotel_70,2023-06-25,0.39254433,0.38654417
hotel_70,2023-06-26,0.43766868,0.40177578
hotel_70,2023-06-27,0.3952905,0.43903553
hotel_70,2023-06-28,0.3887021,0.45043856
hotel_70,2023-06-29,0.45037255,0.47415978
hotel_70,2023-06-30,0.52402335,0.52079594
hotel_84,2023-06-03,0.9729855,0.9417106
hotel_84,2023-06-04,0.6861793,0.8402533
hotel_84,2023-06-05,0.64007497,0.84240043
hotel_84,2023-06-06,0.6886519,0.92987704
hotel_84,2023-06-07,0.7585087,0.90246445
hotel_84,2023-06-08,0.86257905,0.863921
hotel_84,2023-06-09,0.8673426,0.8654711
hotel_84,2023-06-10,0.9231826,0.9186353
hotel_84,2023-06-11,0.7067406,0.72624356
hotel_84,2023-06-12,0.7118392,0.7915637
hotel_84,2023-06-13,0.82062805,0.8532507
hotel_84,2023-06-14,0.84972906,0.8223057
hotel_84,2023-06-15,0.8462125,0.81961894
hotel_84,2023-06-16,0.9602085,0.86145914
hotel_84,2023-06-17,0.91968054,0.87749004
hotel_84,2023-06-18,0.5351865,0.6235467
hotel_84,2023-06-19,0.60781765,0.63759625
hotel_84,2023-06-20,0.6786671,0.7998717
hotel_84,2023-06-21,0.7746139,0.83448386
hotel_84,2023-06-22,0.7541577,0.7980203
hotel_84,2023-06-23,0.7877172,0.78242564
hotel_84,2023-06-24,0.79726565,0.8399736
hotel_84,2023-06-25,0.65819323,0.7090782
hotel_84,2023-06-26,0.7712122,0.7617999
hotel_84,2023-06-27,0.9112276,0.8015356
hotel_84,2023-06-28,0.87549233,0.8073638
hotel_84,2023-06-29,0.8039949,0.8136924
hotel_84,2023-06-30,0.9631356,0.8676606
hotel_91,2023-06-03,0.956142,0.9238926
hotel_91,2023-06-04,0.7371856,0.7816868
hotel_91,2023-06-05,0.826087,0.88268507
hotel_91,2023-06-06,0.98315275,0.994982
hotel_91,2023-06-07,0.828184,0.9837085
hotel_91,2023-06-08,0.75462127,0.8433255
hotel_91,2023-06-09,0.98996264,0.81532866
hotel_91,2023-06-10,1.0934343,0.8982007
hotel_91,2023-06-11,0.8996892,0.9170047
hotel_91,2023-06-12,0.8840467,0.84000593
hotel_91,2023-06-13,1.022794,0.8922456
hotel_91,2023-06-14,0.9320553,0.98241115
hotel_91,2023-06-15,0.8520895,0.8647324
hotel_91,2023-06-16,0.81048006,0.84465164
hotel_91,2023-06-17,0.87831485,0.89103055
hotel_91,2023-06-18,0.76610214,0.8372974
hotel_91,2023-06-19,0.97147703,0.85861444
hotel_91,2023-06-20,1.1105428,0.9194088
hotel_91,2023-06-21,1.0104384,0.93043536
hotel_91,2023-06-22,0.96453446,0.7844322
hotel_91,2023-06-23,0.97876614,0.8140312
hotel_91,2023-06-24,1.1318163,0.78956544
hotel_91,2023-06-25,1.0328857,0.6892607
hotel_91,2023-06-26,1.0540127,0.8279355
hotel_91,2023-06-27,0.97584105,0.9811789
hotel_91,2023-06-28,0.78158104,0.9320571
hotel_91,2023-06-29,0.7776609,0.7284919
hotel_91,2023-06-30,1.0051119,0.78714687
hotel_98,2023-06-03,0.15443163,0.20083846
hotel_98,2023-06-04,0.24643086,0.159832
hotel_98,2023-06-05,0.33123648,0.26244643
hotel_98,2023-06-06,0.37824345,0.2980681
hotel_98,2023-06-07,0.37715384,0.28726077
hotel_98,2023-06-08,0.33713213,0.30192736
hotel_98,2023-06-09,0.55515033,0.44549704
hotel_98,2023-06-10,0.51605844,0.4461255
hotel_98,2023-06-11,0.47064117,0.30674988
hotel_98,2023-06-12,0.38235143,0.24975833
hotel_98,2023-06-13,0.36844924,0.19090691
hotel_98,2023-06-14,0.37645447,0.14521685
hotel_98,2023-06-15,0.4369029,0.20228192
hotel_98,2023-06-16,0.49625516,0.2991757
hotel_98,2023-06-17,0.42193887,0.36259717
hotel_98,2023-06-18,0.23121183,0.21801493
hotel_98,2023-06-19,0.2994249,0.24114218
hotel_98,2023-06-20,0.31074417,0.2094349
hotel_98,2023-06-21,0.48098126,0.22878768
hotel_98,2023-06-22,0.590656,0.31152838
hotel_98,2023-06-23,0.5954291,0.441481
hotel_98,2023-06-24,0.54874027,0.3898282
hotel_98,2023-06-25,0.48723876,0.28441086
hotel_98,2023-06-26,0.37678275,0.16230625
hotel_98,2023-06-27,0.3024099,0.12892292
hotel_98,2023-06-28,0.24488151,0.11706512
hotel_98,2023-06-29,0.4182524,0.15171866
hotel_98,2023-06-30,0.45941186,0.30149007
